X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8
-48.549107229433993,-27.591212009928608,21580317,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580422,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580473,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580589,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580643,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580848,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580929,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.548671936823901,-27.591012761073607,21581160,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548390034905886,-27.591024563701385,21581348,72234,2108005191,742038.88,6945744,742041.12,6945755.98,
-48.548671936823901,-27.591012761073607,21581372,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21581399,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548390034905886,-27.591024563701385,21581402,72234,2108005191,742038.88,6945744,742041.12,6945755.98,
-48.548671936823901,-27.591012761073607,21581410,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21581429,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21581437,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21581496,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.54626852805108,-27.588976276127188,21581526,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.54626852805108,-27.588976276127188,21581534,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.546277235132074,-27.589053667498057,21581593,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21581607,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.54626852805108,-27.588976276127188,21582565,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.546277235132074,-27.589053667498057,21582794,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21582859,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21582980,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21583553,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21584282,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21584525,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.546277235132074,-27.589053667498057,21584550,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.54626852805108,-27.588976276127188,21584568,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.54626852805108,-27.588976276127188,21584576,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.546277235132074,-27.589053667498057,21584703,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.545510990295838,-27.588600513090547,21584819,72753,2108039938,742328.5,6946007.01,742337.45,6946012.11,
-48.545510990295838,-27.588600513090547,21584827,72753,2108039938,742328.5,6946007.01,742337.45,6946012.11,
-48.545510990295838,-27.588600513090547,21585661,72753,2108039938,742328.5,6946007.01,742337.45,6946012.11,
-48.545510990295838,-27.588600513090547,21585750,72753,2108039938,742328.5,6946007.01,742337.45,6946012.11,
-48.548671936823901,-27.591012761073607,21585947,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.549107229433993,-27.591212009928608,21586145,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.547771882290505,-27.597619334578528,21592722,19421,798001,742085.42,6945011.91,742091.01,6945019.62,
-48.545017584111122,-27.596548313580318,21592870,16636,2108065490,742359.73,6945125.21,742365.59,6945116.9,
-48.541645316704624,-27.590800839286317,21601985,71419,2107968907,742705.37,6945755.57,742718.32,6945754.98,
-48.547791185735804,-27.598221513764106,21602256,72233,2108708288,742082.19,6944945.21,742072.64,6944934.16,
-48.540086530990301,-27.57728403556068,21604810,5089,2108031685,742889.09,6947250.54,742881.15,6947245.25,
-48.540430062259077,-27.579695307457733,21604879,15562,2108045165,742849.85,6946983.98,742842.56,6946975.8,
-48.544543298040807,-27.583781953660885,21605158,18005,2108046670,742434.66,6946539.14,742422.31,6946548.96,
-48.544543298040807,-27.583781953660885,21605352,18005,2108046670,742434.66,6946539.14,742422.31,6946548.96,
-48.543591569085912,-27.580912472025386,21613150,71925,2108044916,742534.96,6946855.29,742549.25,6946849.47,
-48.545878240517411,-27.588062105663866,21623610,5008,2108032799,742293.42,6946067.4,742289.56,6946074.03,
-48.494161053938733,-27.554331681237716,21633925,8915,2108899781,747476.07,6949703.29,747468.89,6949712.46,
-48.494874439578311,-27.553855870898236,21633941,8915,2107926601,747406.67,6949757.45,747416.71,6949764.81,
-48.494408427528789,-27.556415380118551,21634050,7897,2107923970,747446.96,6949472.85,747433.06,6949475.38,
-48.494408427528789,-27.556415380118551,21634077,7897,2107923970,747446.96,6949472.85,747433.06,6949475.38,
-48.495853947209689,-27.557073777567947,21634093,5259,2107923593,747302.7,6949402.77,747296.84,6949414.2,
-48.498177923009742,-27.555907316199225,21634123,19984,2107904196,747075.76,6949536.69,747064.84,6949531.06,
-48.497484284565459,-27.557632359562927,21634239,6939,2107923823,747140.41,6949344.12,747133.88,6949343.65,
-48.498969015938819,-27.561643984185832,21634247,17245,2107906467,746984.77,6948902.48,746985.95,6948912.24,
-48.498830951652444,-27.561455084146562,21634387,17245,2107906520,746998.83,6948923.14,747000.27,6948932.42,
-48.499370382255293,-27.56169145499209,21634409,17245,2107905368,746945.02,6948898.02,746940.35,6948891.14,
-48.498732038917524,-27.555758223421602,21634433,19984,2107904154,747021.36,6949554.32,747011.89,6949566.64,
-48.499297919900791,-27.556161903395747,21634549,5261,2107904128,746964.56,6949510.71,746954.19,6949520.05,
-48.506218383662187,-27.555714111204928,21634638,15203,2107891377,746281.98,6949574.13,746275.23,6949562.46,
-48.510994926747443,-27.556512162469769,21634646,19944,2107891436,745808.39,6949495.18,745802.81,6949483.26,
-48.492032692889296,-27.550718394767891,21634816,21970,2107909962,747694.42,6950099.49,747684.31,6950101.48,
-48.514491557154322,-27.539085542047193,21634883,10010,2107909810,745501.78,6951433.48,745495.79,6951424.85,
-48.549107229433993,-27.591212009928608,21636380,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.505550896850629,-27.566749440939368,21649520,6404,2108902801,746323.26,6948349.77,746338.57,6948349.77,
-48.496767950856238,-27.553151307201567,21657190,5257,2108351005,747221.21,6949839.32,747209.76,6949839.67,
-48.54614898909918,-27.589341761889759,21662500,21686,2108305075,742263.87,6945926.11,742257.87,6945938.2,
-48.540651013390381,-27.589300013175446,21663581,5020,2108092671,742806.86,6945919.95,742799.72,6945921.79,
-48.526624532962593,-27.591596640381272,21664359,7497,2107997723,744186.82,6945637.79,744179.42,6945646.27,
-48.527847737310971,-27.584767100971245,21665975,7374,2108023934,744081.17,6946397.11,744074.73,6946401.45,
-48.527446732928496,-27.577712725856589,21666033,5232,2107969664,744136.4,6947178.14,744149.11,6947188.98,
-48.533874757548091,-27.579972484661834,21666114,7604,2108085142,743496.6,6946940.37,743491.14,6946940.99,
-48.531214816258021,-27.577020509215487,21666130,5098,2108309536,743765.81,6947262.29,743757.3,6947262.6,
-48.535138470918611,-27.578787831393569,21666238,8906,16110711,743374.42,6947074.15,743362.62,6947071.68,
-48.534205811407439,-27.57981279383301,21666386,7604,2108053404,743464.26,6946958.72,743461.83,6946968.31,
-48.535526777851025,-27.574994134657285,21666513,14592,2108050004,743344.45,6947495.36,743356.86,6947501.08,
-48.530908766725688,-27.58805399543229,21666530,19888,2108056996,743771.62,6946038.87,743779.48,6946034.55,
-48.530957622254391,-27.587952634060091,21666548,19888,2108019203,743767.02,6946050.2,743760.49,6946057.48,
-48.530074175440475,-27.586966849987846,21666653,8538,2108018269,743856.44,6946157.71,743863.82,6946150.19,
-48.534966982146408,-27.585689024457494,21666661,17337,2108021084,743376.11,6946308.97,743357.72,6946312.89,
-48.539335123842854,-27.581168943616088,21666840,7966,2108045398,742954.73,6946818.51,742961.42,6946824.14,
-48.537940629303151,-27.580720221271516,21667129,7234,2108036556,743093.43,6946865.5,743099.58,6946873.98,
-48.540674140148155,-27.581191052213089,21668290,7966,2108045343,742822.45,6946818.69,742829.13,6946817.2,
-48.545524813419902,-27.585280000323547,21671738,79998,2108018946,742334.44,6946375.04,742328.4,6946368.79,
-48.544491646488346,-27.591310870842864,21671770,72226,2107974632,742423.19,6945704.63,742412.87,6945708.35,
-48.544873328382089,-27.586735716418207,21672084,72262,2107979057,742395.57,6946212.43,742387.52,6946207.48,
-48.545434458838457,-27.585476548743372,21672521,79998,2108324768,742342.93,6946353.08,742335.89,6946343.04,
-48.548671936823901,-27.591012761073607,21673471,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21673544,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.548671936823901,-27.591012761073607,21673617,72409,2108005269,742011.07,6945745.86,742016.2,6945758.37,
-48.545510990295838,-27.588600513090547,21674044,72753,2108039938,742328.5,6946007.01,742337.45,6946012.11,
-48.54626852805108,-27.588976276127188,21674125,72406,2108305090,742252.87,6945966.85,742245.59,6945977.39,
-48.546277235132074,-27.589053667498057,21674150,72406,2108305074,742251.84,6945958.29,742243.67,6945969.92,
-48.54481854230076,-27.596567890510372,21678732,72725,2108065569,742379.34,6945122.65,742384.99,6945119.14,
-48.544543298040807,-27.583781953660885,21679941,18005,2108046670,742434.66,6946539.14,742422.31,6946548.96,
-48.542494219876403,-27.579325922263756,21679992,72249,2108026469,742646.82,6947028.97,742659.28,6947025.15,
-48.536773565282381,-27.578537053566354,21684481,8906,2108052561,743213.5,6947105.16,743200.56,6947100,
-48.522548339501256,-27.586179075858055,21685275,14477,2107953990,744601.35,6946230.15,744595.07,6946239.64,
-48.525644370985006,-27.539027008355944,21706914,8717,2107908694,744400.11,6951462.03,744414.97,6951455.68,
-48.521652679666637,-27.543942882512102,21706930,5308,2107910477,744783.55,6950909.33,744786.21,6950902.52,
-48.506794518184883,-27.535751967744076,21706965,15409,2107912290,746269.62,6951787.65,746264.54,6951798.51,
-48.499589721844636,-27.54405388703228,21707007,5255,2107913498,746962.84,6950853.21,746967.68,6950845.95,
-48.49673959399513,-27.549858788296326,21707104,5256,2107940932,747231.39,6950204.17,747231.78,6950211.86,
-48.494587888476609,-27.550563660063858,21707163,14122,2107928972,747442.36,6950121.75,747432.37,6950117.74,
-48.499116449429131,-27.561325965515529,21707317,17245,2107906522,746970.92,6948938.02,746973.76,6948946.43,
-48.49909999341417,-27.562207928891208,21707414,18420,2108213445,746970.57,6948840.24,746960.68,6948846.4,
-48.499131187191274,-27.562350330790252,21707449,18420,2107905100,746967.17,6948824.52,746969.42,6948834.6,
-48.499363691600529,-27.562558074922681,21707520,18420,2107905306,746943.74,6948801.96,746939.28,6948790.24,
-48.49951518391341,-27.562422752600959,21707589,18420,2107905307,746929.08,6948817.26,746923.85,6948804.51,
-48.500177870908445,-27.562746877306505,21707635,6393,2107904597,746862.9,6948782.66,746868.79,6948793.42,
-48.498854522195671,-27.56264788557576,21707660,18420,2107905079,746993.83,6948790.99,746992.63,6948782.42,
-48.498575834549442,-27.562731019116317,21707791,18420,18775399,747021.17,6948781.22,747016.17,6948770.22,
-48.507120901808193,-27.554733910716646,21707821,14746,2107891396,746195.02,6949684.56,746183.61,6949673.16,
-48.518561148963904,-27.564427991481168,21708054,16313,2107902118,745043.44,6948632.89,745042.65,6948641.11,
-48.517858618015097,-27.563873785111983,21708151,16313,2107902057,745114.06,6948692.92,745115.74,6948679.67,
-48.516606393857877,-27.566994275691151,21708216,15820,2107903842,745230.8,6948344.6,745222.36,6948337.72,
-48.542090798384187,-27.588804441882328,21733474,5019,2108018169,742665.78,6945977.7,742665.26,6945968.16,
-48.542985460242861,-27.599294054375989,21733512,5053,2108279154,742554.33,6944816.92,742552.62,6944822.06,
-48.544951062248209,-27.601122001518117,21733520,5060,2108312687,742356.23,6944618.19,742364.97,6944621.49,
-48.544081083910221,-27.60062107306852,21733555,6918,2108236355,742443.23,6944672,742441.62,6944676.29,
-48.525772042543977,-27.591329791193633,21734047,7497,2108008948,744271.59,6945665.68,744263.71,6945654.84,
-48.528849998237945,-27.588431775496275,21734071,7202,2108049336,743974.08,6945992.94,743984.33,6945983.84,
-48.53039290942862,-27.586847463680794,21734098,8538,2108016973,743825.23,6946171.57,743829.79,6946163.89,
-48.532765810370172,-27.583270901176437,21734128,8658,2108299251,743598.82,6946572.63,743602.73,6946578.63,
-48.529035466891237,-27.575207175884341,21734225,5102,2108064146,743985.05,6947458.96,743977.22,6947462.64,
-48.539853479371104,-27.578565689747066,21738212,7123,2108031363,742909.28,6947108.04,742919.71,6947115.06,
